Chinese (Simplified),English,Category,Description,Reference,Chinese (Traditional),Korean,Japanese,Swedish,Polish,Dutch,Indonesian,Spanish,Turkish,Vietnamese,French,German,Italian,Russian,Portuguese,Thai,Malaysian,Arabic
莱拉,Lyra,Name,紫色建筑师2船员名字 | Purple Architect Crew Member 2,,萊菈,라일라,ライラ,Lyra Ström,Lyra Torrent,Lyra Torrent,Lyra Torrent,Lyra Torrent,Lyra Torrent,Lyra Torrent,Lyra Torrent,Lyra Torrent,Lyra Torrent,Лира,Lyra Torrent,ไลรา ทอร์เรนท์,Lyra Torrent,ليرا
塔里克,Tariq,Name,紫色学者船员名字 | Purple Scholar Crew Member,,塔里克,타릭,タリク,Tariq Puls,Tariq Pulse,Tariq Pulse,Tariq Pulse,Tariq Pulse,Tariq Pulse,Tariq Pulse,Tariq Pulse,Tariq Pulse,Tariq Pulse,Тарик,Tariq Pulse,ทาริค พัลส์,Tariq Pulse,طارق
拉维,Ravi,Name,紫色工程师1船员名字 | Purple Enginner Crew Member 1,,拉維,라비,ラヴィ,Ravi Chan,Ravi Chan,Ravi Chan,Ravi Chan,Ravi Chan,Ravi Chan,Ravi Chan,Ravi Chan,Ravi Chan,Ravi Chan,Рави,Ravi Chan,ราวิ ชาน,Ravi Chan,رافي
樱,Sakura,Name,紫色净水工船员名字 |Purple Water Purifier Crew Member,,櫻,사쿠라,サクラ,Sakura Hoshi,Sakura Hoshi,Sakura Hoshi,Sakura Hoshi,Sakura Hoshi,Sakura Hoshi,Sakura Hoshi,Sakura Hoshi,Sakura Hoshi,Sakura Hoshi,Сакура,Sakura Hoshi,ซากุระ โฮชิ,Sakura Hoshi,ساكورا
博,Hiro,Name,紫色营养师船员名字 | Purple Nutritionist Crew Member,,博,하이로,ヒロ,Hiro Nova,Hiro Nova,Hiro Nova,Hiro Nova,Hiro Nova,Hiro Nova,Hiro Nova,Hiro Nova,Hiro Nova,Hiro Nova,Хиро,Hiro Nova,ฮิโระ โนวา,Hiro Nova,هيرو
摩根娜,Morgana,Name,紫色维修工船员名字 | Purple Maintenance Worker Crew Member,,摩根娜,모르가나,モルガナ,Morgana Tensor,Morgana Tensor,Morgana Tensor,Morgana Tensor,Morgana Tensor,Morgana Tensor,Morgana Tensor,Morgana Tensor,Morgana Tensor,Morgana Tensor,Моргана,Morgana Tensor,มอร์กานา เทนเซอร์,Morgana Tensor,مورغانا
卡西安,Cassian,Name,橙色建筑师1船员名字 | Orange Architect Crew Member 1,,卡西安,카시안,カシアン,Cassian Vektor,Cassian Vector,Cassian Vector,Cassian Vector,Cassian Vector,Cassian Vector,Cassian Vector,Cassian Vector,Cassian Vector,Cassian Vector,Кассиан,Cassian Vector,แคสเซียน เว็กเตอร์,Cassian Vector,كاسيان
妮娅,Nia,Name,橙色建筑师2船员名字 | Orange Architect Crew Member 2,,妮婭,니아,ニア,Nia Gryning,Nia Dawn,Nia Dawn,Nia Dawn,Nia Dawn,Nia Dawn,Nia Dawn,Nia Dawn,Nia Dawn,Nia Dawn,Ния,Nia Dawn,นีอา ดอว์น,Nia Dawn,نيا
梅,Mei,Name,橙色学者船员名字 | Orange Scholar Crew Member,,梅,메이,メイ,Mei Vega,Mei Vega,Mei Vega,Mei Vega,Mei Vega,Mei Vega,Mei Vega,Mei Vega,Mei Vega,Mei Vega,Мей,Mei Vega,เมย์ เวก้า,Mei Vega,مي
埃琳娜,Elena,Name,橙色净水工船员名字 | Orange Water Purifier Crew Member,,艾琳娜,엘리나,エレナ,Elena Cruz,Elena Cruz,Elena Cruz,Elena Cruz,Elena Cruz,Elena Cruz,Elena Cruz,Elena Cruz,Elena Cruz,Elena Cruz,Елена,Elena Cruz,เอเลน่า ครูซ,Elena Cruz,إيلينا
科菲,Kofi,Name,橙色营养师船员名字 | Orange Nutritionist Crew Member,,科菲,코피,コフィ,Kofi Anansi,Kofi Anansi,Kofi Anansi,Kofi Anansi,Kofi Anansi,Kofi Anansi,Kofi Anansi,Kofi Anansi,Kofi Anansi,Kofi Anansi,Кофи,Kofi Anansi,โคฟี อนานซี,Kofi Anansi,كوفي
恩佐,Enzo,Name,橙色仓管船员名字 | Orange Warehouse Keeper Crew Member,,恩佐,엔조,エンゾ,Enzo Nebula,Enzo Nebula,Enzo Nebula,Enzo Nebula,Enzo Nebula,Enzo Nebula,Enzo Nebula,Enzo Nebula,Enzo Nebula,Enzo Nebula,Энцо,Enzo Nebula,เอนโซ เนบิวลา,Enzo Nebula,إنزو
瑟拉菲娜,Seraphina,Name,橙色维修工船员名字 | Orange Maintenance Worker Crew Member,,瑟拉菲娜,세라피나,セラフィナ,Seraphina Quanta,Seraphina Quanta,Seraphina Quanta,Seraphina Quanta,Seraphina Quanta,Seraphina Quanta,Seraphina Quanta,Seraphina Quanta,Seraphina Quanta,Seraphina Quanta,Серафина,Seraphina Quanta,เซราฟิน่า ควอนตา,Seraphina Quanta,سيرافينا
算力元件特惠礼包,Computational Component Special Offer Pack,Bundle,礼包名 | Gift Pack Name,,算力元件特惠禮包,연산 모듈 특가 패키지,演算チップ特別パック,Specialerbjudanden på paket med beräkningskomponent,Oferta specjalna na pakiet komponentów obliczeniowych,Speciale aanbiedingsbundel voor rekencomponent,Penawaran Spesial Komponen Komputasi,Oferta Especial de Componentes de Computación,Hesaplama Bileşeni Özel Teklif Paketi,Gói Siêu Ưu Đãi Bộ Phận Tính Toán,Offre Spéciale de Composants Informatiques,Spezialangebot für Rechenkomponenten,Pacchetto Offerta speciale Componente computazionale,Особая акция на вычислительные компоненты,Oferta Especial de Componentes Computacionais,แพ็กข้อเสนอพิเศษชิ้นส่วนคอมพิวเตอร์,Pek Tawaran Istimewa Komponen Pengiraan,العرض الخاص للمكوّنات الحاسوبية
战报,Battle Report,Name,,,戰報,전투 리포트,バトルレポート,Stridsrapporter,Raporty z bitwy,Gevechtsrapporten,Laporan Pertempuran,Informes de batalla,Savaş Raporları,Báo Cáo Chiến Đấu,Rapports de bataille,Kampfberichte,Rapporti di battaglia,Отчеты о битве,Relatórios de Batalha,รายงานการต่อสู้,Laporan Pertempuran,تقارير المعركة
跃迁点,Jump Point,Name,,,躍遷點,워프 포인트,ワープポイント,Hoppunkt,Punkt skoku,Ruimtesprongpunt,Titik Lompat,Puntos de teletransportación,Sıçrama Noktası,Điểm Dịch Chuyển,Points de saut,Sprungpunkte,Punto di salto,Точка прыжка,Pontos de Salto,จุดข้ามมิติ,Titik Lompat,نقطة القفز
过载协议,Overload Protocol,Name,橙建筑师技能名称 | Orange Architect Skill,,過載協議,과부하 프로토콜,オーバーロードプロトコル,Överladdningsprotokoll,Protokół przeciążeniowy,Overbelastingprotocol,Overload Protocol,Protocolo de sobrecarga,Aşırı Yük Protokolü,Giao Thức Quá Tải,Protocole de surcharge,Überlastungsprotokoll,Protocollo Sovraccarico,Протокол перегрузки,Protocolo de Sobrecarga,โปรโตคอลโอเวอร์โหลด,Protokol Beban Lebih,بروتوكول التحميل الزائد
思维跃迁,Mind Jump,Name,橙学者技能名称 | Orange Scholar Skill,,思維躍遷,사고 도약,思考加速,Sinneshopp,Przypływ inspiracji,Mentale sprong,Mind Jump,Salto mental,Zihin Atlaması,Bước Nhảy Tâm Trí,Saut de l'esprit,Gedankensprung,Salto mentale,Мысленный прыжок,Salto Mental,มายด์จัมป์,Lompatan Minda,قفزة العقل
产线重构,Assembly Reboot,Name,橙工程师技能名称 | Orange Architect Skill,,產線重構,생산 라인 재구축,生産ライン再構築,Modulomstart,Restart systemu,Trainingsreboot,Assembly Reboot,Reinicio de ensamblaje,Montaj Yeniden Başlatma,Khởi Động Lại Hội Đồng,Reboot de l'assemblage,Produktionsneustart,Riavvio dell'assemblaggio,Перезагрузка сборки,Reinicialização da Montagem,รีบูตชุดประกอบ,But Semula Pemasangan,إعادة تشغيل التجميع
超频冶炼,Hyperforge,Name,橙冶炼工技能名称 | Orange Smelter Skill,,超頻冶煉,오버클럭 제련,超高速精錬,Hypersmedja,Hiperkuźnia,Hypersmederij,Hyperforge,Hiperforja,Hiper Dövme,Lò Rèn Siêu Tốc,Hyperforge,Hyperschmiede,Iper-fucina,Гиперплавка,Hiperforja,ไฮเปอร์ฟอร์จ,Tempa Hiper,المصنع الفائق
深空冷凝,Deepspace Condensation,Name,橙净水工技能名称 |Orange Water Purifier Skill,,深空冷凝,심연의 냉각,深宇宙冷却,Rymdkondens,Amalgamacja kosmiczna,Nevelcondensatie,Deepspace Condensation,Condensación del espacio profundo,Derin Uzay Yoğuşması,Ngưng Tụ Không Gian Sâu,Condensation cosmique,Raumzeitkondensation,Condensazione dello spazio profondo,Космическая конденсация,Condensação Sideral,ควบแน่นในห้วงอวกาศ,Pemeluwapan Angkasa Dalam,ضباب الفضاء العميق
爆发育种,Genesis Bloom,Name,橙营养师技能名称 | Orange Nutritionist Skill,,爆發生長,급속 배양,バースト育成,Begynnelseblomning,Dobrobyt,Genesisbloei,Genesis Bloom,Despertar del génesis,Yaratılış Çiçeği,Mầm Khởi Nguyên,Éclosion primordiale,Genesis-Blüte,Super nutrimento,Расцвет генезиса,Surto Genético,ปฐมกาลเบ่งบาน,Letusan Genesis,زهرة النشوء
安全运输,Shielded Cargo,Name,橙仓管技能名称 |Orange Warehouse Keeper Skill,,安全運輸,안전 운송,セキュア輸送,Skärmad last,Osłonięty ładunek,Beschermde vracht,Shielded Cargo,Carga blindada,Korumalı Kargo,Hàng Hóa Được Che Chắn,Cargaison blindée,Beschützte Fracht,Carico schermato,Защищенный груз,Carga Blindada,สินค้าหุ้มเกราะ,Kargo Dilindungi,شحنة محمية
​战场洪流,Warborn Resurgence,Name,橙维修工技能名称 | Orange Maintenance Worker Skill,,戰場洪流,전장의 격류,戦場修復,Krigsfödd återuppgång,Zapas wojenny,Opleving van oorlogsmateriaal,Warborn Resurgence,Resurgir bélico,Cephe Dirilişi,Tái Sinh Chiến Binh,Renaissance martiale,Funke des Widerstands,Rinascita dalla guerra,Восстановление в бою,Ressurgência Bélica,ฟื้นชีพวอร์บอร์น,Kelahiran Perang,عودة المحاربين
护甲协调,Armor Sync,Name,蓝守护技能名称 | Blue Guardian Skill,,護甲協調,방어 조정,装甲連携,Pansarsynk,Synchronizacja pancerza,Pantsersynchronisatie,Armor Sync,Sincronía de armadura,Zırh Senkronizasyonu,Đồng Bộ Giáp,Armure synchronisée,Panzersynchronisierung,Sincronizzazione dell'armatura,Синхронизация брони,Sincro-armadura,ซิงค์เกราะ,Penyegerakan Perisai,مزامنة الدرع
纳米装甲,Nano Shielding,Name,蓝顾问技能名称 | Blue Consultant Skill,,奈米護甲,나노 아머,ナノアーマー,Nanosköld,Nanoosłona,Nanoschilden,Nano Shielding,Nanoescudo,Nano Koruma,Lá Chắn Nano,Nano-blindage,Nanoschild,Nano-schermatura,Нанощит,Nano Blindagem,โล่นาโน,Pertahanan Nano,الدرع النانوي
火力激荡,Firepower Surge,Name,蓝勇士技能名称 | Blue Warrior Skill,,火力激盪,화력 증폭,火力奔流,Våldsam eldkraft,Wzmocnienie ognia,Vuurkrachtpiek,Firepower Surge,Oleada de potencia de fuego,Ateş Gücü Dalgalanması,Bộc Phát Hỏa Lực,Déferlement de puissance,Feuerkraftausbruch,Aumento potenza di fuoco,Огневой выброс,Surto Artilheiro,พลังยิงปะทุ,Pusuan Kuasa Api,زيادة القوة النارية
伤害粘合,Reactive Strike,Name,蓝智者技能名称 | Blue Sage Skill,,傷害黏合,피해 접착,ダメージ凝集,Reaktiv attack,Cios instynktowny,Reactieve aanval,Reactive Strike,Ataque reactivo,Tepkisel Saldırı,Đòn Phản Kích,Riposte éclair,Konterschlag,Colpo reattivo,Реактивный удар,Ataque Reativo,จู่โจมโต้คืน,Serangan Reaktif,الهجوم التفاعلي
力场护盾,Force Barrier,Name,紫守护技能名称 | Purple Guardian Skill,,力場護盾,에너지 실드,力場シールド,Kraftbarriär,Bariera mocy,Energiebarrière,Force Barrier,Barrera de fuerza,Güç Bariyeri,Rào Cản Lực,Barrière de force,Kraftbarriere,Barriera di forza,Силовой барьер,Barreira de Força,บาร์เรียร์พลัง,Perisai Tentera,حاجز القوة
伤痕审判,Scars of Judgment,Name,紫顾问技能名称 | Purple Consultant Skill,,傷痕審判,상처의 심판,傷痕の裁き,Dömandets ärr,Blizny osądu,Littekens van het oordeel,Bekas Luka Pengadilan,Cicatrices del juicio,Hüküm Yaraları,Vết Sẹo Phán Quyết,Cicatrices du jugement,Schmerzhaftes Urteil,Cicatrici del giudizio,Шрамы правосудия,Cicatrizes do Julgamento,บาดแผลแห่งการตัดสิน,Parut Penghakiman,آثار الحُكم
战场祷告,Battlefield Prayers,Name,紫勇士技能名称 | Purple Warrior Skill,,戰場禱告,전장의 기도,戦場の祈り,Slagfältsspelare,Modły bitewne,Slagveldgebeden,Doa Medan Tempur,Plegarias de batalla,Savaş Alanı Duaları,Lời Cầu Nguyện Chiến Địa,Prières guerrières,Kriegsgebete,Preghiere sul campo di battaglia,Боевые молитвы,Preces de Batalha,คำอธิษฐานจากสมรภูมิรบ,Doa Medan Pertempuran,دعاء ساحة المعركة
极限反杀,Ultimate Counterattack,Name,紫勇士技能名称 | Purple Warrior Skill,,極限反殺,최후의 반격,逆転の一閃,Ultimat motattack,Najskuteczniejszy kontratak,Ultieme tegenaanval,Serangan Balasan Utama,Contraataque definitivo,Nihai Karşı Saldırı,Phản Công Tối Thượng,Contre-attaque ultime,Ultimativer Gegenangriff,Contrattacco finale,Высшая контратака,Contra-ataque Supremo,สวนกลับอัลติ,Serangan Balas Terunggul,الهجوم المضاد النهائي
元初福音,Primeval Blessing,Name,橙守护技能名称 | Orange Guardian Skill,,元初福音,태초의 복음,原初の福音,Urtida välsignelse,Pierwotne błogosławieństwo,Oerzegen,Berkat Purba,Bendición primigenia,İlkel Kutsama,Phước Lành Nguyên Sơ,Bénédiction primordiale,Ursprünglicher Segen,Benedizione primordiale,Первобытное благословение,Bênção Primordial,พรก่อนกาล,Berkat Purba,البركة البدائية
科学魔术,Science Trick,Name,橙顾问技能名称 | Orange Consultant Skill,,科學魔術,과학 마술,科学魔術,Vetenskapligt trick,Sztuczka naukowa,Wetenschapstruc,Trik Sains,Truco científico,Bilim Numarası,Mánh Khoé Khoa Học,Astuce scientifique,Wissenschaftstrick,Trucco scientifico,Научный фокус,Truque Científico,กลวิทยาศาสตร์,Muslihat Sains,خدعة علمية
无畏复仇,Fearless Retribution,Name,橙勇士技能名称 | Orange Warrior Skill,,無畏復仇,불굴의 복수,不屈の復讐,Orädd vedergällning,Nieustraszony odwet,Onverschrokken vergelding,Pembalasan Tanpa Rasa Takut,Retribución intrépida,Korkusuz Ceza,Báo Thù Bất Khuất,Représailles intrépides,Furchtlose Rache,Vendetta impavida,Бесстрашное возмездие,Retribuição Impiedosa,การลงทัณฑ์อันหล้าหาญ,Pembalasan Tanpa Rasa Takut,الانتقام الجريء
审判宣告,Judgment Protocol,Name,橙智者技能名称 | Orange Sage Skill,,審判宣告,심판 선고,裁きの宣告,Bedömningsprotokoll,Protokół osądu,Oordeelsprotocol,Protokol Penghakiman,Protocolo de sentencia,Hüküm Protokolü,Giao Thức Phán Quyết,Protocole d'arrêt,Urteilsverkündung,Protocollo del giudizio,Судебный протокол,Protocolo de Julgamento,จัดจ์เมนต์โปรโตคอล,Protokol Penghakiman,بروتوكول الحكم
威慑博弈,Game of Deterrence,Name,橙+哈定-火炮手技能名称 | Orange Cannoneer Skill,,威懾博弈,위압 전술,抑止力の駆け引き,Avskräckande spel,Odstraszanie,Afschrikkingsspel,Permainan Penangkalan,Juego de disuasión,Caydırma Oyunu,Trò Chơi Răn Đe,Jeu de dissuasion,Abschreckungsspiel,Gioco di deterrenza,Игра устрашения,Jogo de Dissuasão,กลเกมกีดขวาง,Permainan Pencegahan,لعبة الردع
双面悖论,Dual Paradox,Name,橙+芮奇·谢顿-导航员技能名称 | Orange Navigator Skill,,雙面悖論,이중 모순,二重のパラドックス,Dubbel paradox,Paradoks pojedynku,Dubbele paradox,Paradoks Ganda,Paradoja dual,İkili Paradoks,Nghịch Lý Kép,Paradoxe binomial,Doppelparadoxon,Doppio paradosso,Парадокс дуализма,Paradoxo Duplo,ดูอัลพาราด็อกซ์,Paradoks Berganda,المفارقة المزدوجة
回响模组,Echo Module,Item,船员委任养成材料，用于升级，蓝色品质 | Development Material for Blue Crew Member Upgrade,,迴響模組,에코 모듈,エコーモジュール,Ekomodul,Moduł echa,Echomodule,Modul Echo,Módulo de eco,Yankı Modülü,Mô-đun Dư Âm,Module d'Écho,Echo-Modul,Modulo dell'eco,Модуль отголосков,Módulo de Eco,โมดูลเสียงสะท้อน,Modul Gema,وحدة الصدى
深空回响,Echoes of Deep Space,Item,船员委任养成材料，用于突破，橙色品质 | Development Material for Orange Crew Member Breakthrough,,深空迴響,심연의 메아리,深宇宙の残響,Ekon från djuprymden,Echa z kosmosu,Echo's uit de diepe ruimte,Gema Angkasa Jauh,Ecos del espacio profundo,Derin Uzay Yankıları,Vọng Âm Vũ Trụ Sâu Thẳm,Échos cosmiques,Weltraum-Echos,Echi dello spazio profondo,Отголоски глубокого космоса,Ecos do Espaço Profundo,เสียงสะท้อนแห่งห้วงอวกาศ,Gema Angkasa Lepas,أصداء الفضاء السحيق
建筑师,Architect,Name,船员分类 | Crew Member Category,,建築師,건축가,建築士,Arkitekt,Architekt,Architect,Arsitek,Arquitecto,Mimar,Kiến Trúc Sư,Architecte,Architekt,Architetto,Архитектор,Arquiteto,สถาปนิก,Arkitek,المهندس المعماري
